2024-01-19 11:52:31,488 INFO    StreamThr :488 [internal.py:wandb_internal():86] W&B internal server running at pid: 488, started at: 2024-01-19 11:52:31.488200
2024-01-19 11:52:31,490 DEBUG   HandlerThread:488 [handler.py:handle_request():146] handle_request: status
2024-01-19 11:52:31,490 INFO    WriterThread:488 [datastore.py:open_for_write():85] open: D:\AI\text-re\text-generation\wandb\run-20240119_115231-xyow3agi\run-xyow3agi.wandb
2024-01-19 11:52:31,490 DEBUG   SenderThread:488 [sender.py:send():380] send: header
2024-01-19 11:52:31,527 DEBUG   SenderThread:488 [sender.py:send():380] send: run
2024-01-19 11:52:32,734 INFO    SenderThread:488 [dir_watcher.py:__init__():211] watching files in: D:\AI\text-re\text-generation\wandb\run-20240119_115231-xyow3agi\files
2024-01-19 11:52:32,734 INFO    SenderThread:488 [sender.py:_start_run_threads():1122] run started: xyow3agi with start time 1705636351.490199
2024-01-19 11:52:32,738 DEBUG   HandlerThread:488 [handler.py:handle_request():146] handle_request: check_version
2024-01-19 11:52:32,738 DEBUG   SenderThread:488 [sender.py:send_request():407] send_request: check_version
2024-01-19 11:52:33,194 DEBUG   HandlerThread:488 [handler.py:handle_request():146] handle_request: run_start
2024-01-19 11:52:33,248 DEBUG   HandlerThread:488 [system_info.py:__init__():32] System info init
2024-01-19 11:52:33,248 DEBUG   HandlerThread:488 [system_info.py:__init__():47] System info init done
2024-01-19 11:52:33,248 INFO    HandlerThread:488 [system_monitor.py:start():194] Starting system monitor
2024-01-19 11:52:33,248 INFO    SystemMonitor:488 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-19 11:52:33,248 INFO    HandlerThread:488 [system_monitor.py:probe():214] Collecting system info
2024-01-19 11:52:33,252 INFO    SystemMonitor:488 [interfaces.py:start():190] Started cpu monitoring
2024-01-19 11:52:33,253 INFO    SystemMonitor:488 [interfaces.py:start():190] Started disk monitoring
2024-01-19 11:52:33,253 INFO    SystemMonitor:488 [interfaces.py:start():190] Started gpu monitoring
2024-01-19 11:52:33,259 INFO    SystemMonitor:488 [interfaces.py:start():190] Started memory monitoring
2024-01-19 11:52:33,263 INFO    SystemMonitor:488 [interfaces.py:start():190] Started network monitoring
2024-01-19 11:52:33,267 DEBUG   HandlerThread:488 [system_info.py:probe():196] Probing system
2024-01-19 11:52:33,267 DEBUG   HandlerThread:488 [system_info.py:_probe_git():181] Probing git
2024-01-19 11:52:33,331 DEBUG   HandlerThread:488 [system_info.py:_probe_git():189] Probing git done
2024-01-19 11:52:33,331 DEBUG   HandlerThread:488 [system_info.py:probe():244] Probing system done
