2024-01-19 11:48:31,071 INFO    StreamThr :12832 [internal.py:wandb_internal():86] W&B internal server running at pid: 12832, started at: 2024-01-19 11:48:31.071149
2024-01-19 11:48:31,075 DEBUG   HandlerThread:12832 [handler.py:handle_request():146] handle_request: status
2024-01-19 11:48:31,076 INFO    WriterThread:12832 [datastore.py:open_for_write():85] open: D:\AI\text-re\text-generation\wandb\run-20240119_114831-gtokpsvv\run-gtokpsvv.wandb
2024-01-19 11:48:31,077 DEBUG   SenderThread:12832 [sender.py:send():380] send: header
2024-01-19 11:48:31,311 DEBUG   SenderThread:12832 [sender.py:send():380] send: run
2024-01-19 11:48:32,285 INFO    SenderThread:12832 [dir_watcher.py:__init__():211] watching files in: D:\AI\text-re\text-generation\wandb\run-20240119_114831-gtokpsvv\files
2024-01-19 11:48:32,288 INFO    SenderThread:12832 [sender.py:_start_run_threads():1122] run started: gtokpsvv with start time 1705636111.071148
2024-01-19 11:48:32,291 DEBUG   HandlerThread:12832 [handler.py:handle_request():146] handle_request: check_version
2024-01-19 11:48:32,291 DEBUG   SenderThread:12832 [sender.py:send_request():407] send_request: check_version
2024-01-19 11:48:32,824 DEBUG   HandlerThread:12832 [handler.py:handle_request():146] handle_request: run_start
2024-01-19 11:48:32,892 DEBUG   HandlerThread:12832 [system_info.py:__init__():32] System info init
2024-01-19 11:48:32,892 DEBUG   HandlerThread:12832 [system_info.py:__init__():47] System info init done
2024-01-19 11:48:32,892 INFO    HandlerThread:12832 [system_monitor.py:start():194] Starting system monitor
2024-01-19 11:48:32,896 INFO    SystemMonitor:12832 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-19 11:48:32,896 INFO    HandlerThread:12832 [system_monitor.py:probe():214] Collecting system info
2024-01-19 11:48:32,900 INFO    SystemMonitor:12832 [interfaces.py:start():190] Started cpu monitoring
2024-01-19 11:48:32,904 INFO    SystemMonitor:12832 [interfaces.py:start():190] Started disk monitoring
2024-01-19 11:48:32,904 INFO    SystemMonitor:12832 [interfaces.py:start():190] Started gpu monitoring
2024-01-19 11:48:32,916 INFO    SystemMonitor:12832 [interfaces.py:start():190] Started memory monitoring
2024-01-19 11:48:32,928 INFO    SystemMonitor:12832 [interfaces.py:start():190] Started network monitoring
2024-01-19 11:48:32,936 DEBUG   HandlerThread:12832 [system_info.py:probe():196] Probing system
2024-01-19 11:48:32,936 DEBUG   HandlerThread:12832 [system_info.py:_probe_git():181] Probing git
2024-01-19 11:48:32,997 DEBUG   HandlerThread:12832 [system_info.py:_probe_git():189] Probing git done
